지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균현지기압(hPa),평균해면기압(hPa),평균수증기압(hPa),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),평균운량(1/10),평균중하층운량(1/10),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),평균지면온도(°C)
90,속초,2019-09,20.9,24.7,1013.6,1015.6,19.5,79,209.9,1.5,6.7,4.3,145.2,38.85,,22.7
90,속초,2019-10,16.1,20,1016.7,1018.8,12.6,68,185.5,1.9,5.4,3.5,157.7,45.33,,16.1
90,속초,2019-11,9.4,13.9,1018.9,1021.1,6.9,57,157.3,1.8,4.4,3.1,186.9,61.42,,8.7
90,속초,2019-12,4.2,8.4,1020.6,1022.7,3.9,45,9.8,1.9,3.9,2.3,194.7,65.71,,2.6
90,속초,2020-01,3.4,7.2,1019.7,1021.9,4.2,53,148.1,2.1,4.6,3.3,163.3,53.52,,2.3
90,속초,2020-02,4.1,8,1020.3,1022.5,4.6,53,55.8,2,4.2,2.8,194.1,62.11,,3.8
90,속초,2020-03,7.9,12.6,1013.6,1015.8,6,56,38,2.4,3.5,2.1,263.7,71,,8.6
90,속초,2020-04,11.3,16.1,1013.3,1015.4,6.5,50,38.4,2.5,3.9,2.4,256,64.55,,13.9
90,속초,2020-05,17.1,21.6,1007.4,1009.4,13.1,70,245.1,2.2,5.9,4.1,218.5,49.42,,20
90,속초,2020-06,22.2,26.4,1003.6,1005.6,19.1,74,271.9,2.2,5.3,3.1,238.7,53.85,,28.2
90,속초,2020-07,21.6,24.7,1005.8,1007.8,21.9,85,374.7,1.9,6.9,4.3,168.5,37.41,,25.4
90,속초,2020-08,25.7,29.6,1005.8,1007.8,26.5,82,411.3,1.4,7.2,4.2,128.4,30.43,,26.8
90,속초,2020-09,20.1,23.8,1010,1012,17.5,75,482.8,2.2,6.2,4.2,152.5,40.91,,21.3
90,속초,2020-10,14.3,19,1017.5,1019.6,9.8,60,0,1.7,3.9,2.1,231.3,66.66,,16
90,속초,2020-11,10,14.4,1020.2,1022.4,6.1,47,19.2,2,3.5,2.3,204.5,67.38,,10
90,속초,2020-12,1.8,6,1020.8,1023,2.7,35,.5,2.1,2.4,1.5,228.4,77.08,,1.6
90,속초,2021-01,-1.2,2.9,1019.9,1022.2,2.9,43,0,2.3,3.6,2.3,200.4,65.58,,-.3
90,속초,2021-02,3.1,7.7,1016.3,1018.5,4.2,51,5,2.3,3.6,1.7,214.2,70.93,,4.5
90,속초,2021-03,8,12.6,1016.8,1018.9,6.6,64,104.2,2,5,3.4,209,56.29,,8.4
90,속초,2021-04,12.3,16.6,1016,1018.1,8.5,61,97.2,2.3,4.7,2.8,228.4,57.62,,14.7
90,속초,2021-05,16.7,21.5,1005.8,1007.8,11.6,63,154.9,2.1,5.2,3,239.6,54.21,,19.8
90,속초,2021-06,20.3,23.8,1006.1,1008.1,18.9,81,43.8,1.7,6.1,4.1,185.7,41.89,,23.3
90,속초,2021-07,25.5,29.3,1006.9,1008.9,27.5,85,104.1,1.5,5.2,2.1,270,59.92,,33.3
90,속초,2021-08,24.4,28,1006.9,1008.9,24.3,80,247.1,1.6,7.4,4.1,133,31.51,,27.2
90,속초,2021-09,20.9,24.7,1012.7,1014.7,19.6,80,141.6,1.7,5.5,3.1,195.8,52.49,,23.9
90,속초,2021-10,15.5,20,1018.9,1021,12.7,69,216.9,1.8,5.5,3.7,174,50.09,,16.1
90,속초,2021-11,9.9,14.4,1015.1,1017.2,6.5,50,16.2,2.2,3.5,2.1,208.2,70.99,,9.2
90,속초,2021-12,2.8,7.2,1019.6,1021.9,3.8,47,68.7,2.2,3,1.7,219.8,74.21,,2.7
90,속초,2022-01,-.6,3,1020.5,1022.7,2.9,48,3.6,1.9,3.2,1.7,227.2,74.37,,.2
90,속초,2022-02,.3,4.3,1020.5,1022.7,2.7,40,11.1,2.3,2.5,1.2,243.8,80.76,,.5
93,북춘천,2018-01,-6,.6,1011.9,1024.3,2.6,60,6.5,1.3,3.9,2.5,203,66.23,297.61,-3.4
93,북춘천,2018-02,-3.4,3.6,1011.2,1023.4,2.5,53,33,1.5,3.6,1.9,214.2,70.86,345.45,-2.2
93,북춘천,2018-03,7,13.8,1008.8,1020.6,6.1,61,32,1.8,4.6,3.3,204.3,55.07,434.45,7.5
93,북춘천,2018-04,12,19.5,1004.2,1015.7,7.9,60,117.2,1.9,4.9,3.5,218.7,55.3,505.89,14
93,북춘천,2018-05,17.2,23.9,1000.3,1011.5,12.6,66,200.5,1.7,5.4,3.5,233.2,52.89,577.58,20.2
93,북춘천,2018-06,22.6,29.3,996.8,1007.7,16.3,63,88.6,1.5,5.6,2.8,252.8,57.08,628.31,28.4
93,북춘천,2018-07,26.3,31.8,998.1,1008.9,23.7,71,189.7,1.3,5,3.6,243.9,54.26,520.07,
93,북춘천,2018-08,26.9,32.9,996.6,1007.4,23.5,69,354.6,1.3,6.1,3.8,223,52.83,464.48,31.7
93,북춘천,2018-09,19.1,25.7,1002.6,1013.8,15.3,72,63,1.1,5.4,3.1,205.5,55.05,397.14,22.8
93,북춘천,2018-10,10.3,17.9,1007.7,1019.3,9.2,75,102.6,1.1,4.5,3.1,200.3,57.54,314.48,12.8
93,북춘천,2018-11,5.1,12.1,1012.2,1024,6.6,75,56.9,.7,5.1,3.6,148.2,48.61,206.42,6.4
93,북춘천,2018-12,-3.2,3.4,1015.4,1027.7,3.2,62,17.3,1,3.9,2.4,194.9,65.42,216.07,-1.7
93,북춘천,2019-01,-3.9,4.2,1013.8,1026.2,2.5,56,.2,1,3,1.6,228.9,74.78,251.44,-3.3
93,북춘천,2019-02,-.6,5.9,1012.3,1024.4,3.4,59,27.5,.9,4.6,2.4,201.8,66.82,324.29,.7
93,북춘천,2019-03,5,12.3,1005.4,1017.2,4.8,58,30.9,1.4,5.1,3.6,199.4,53.82,431.23,6.3
93,북춘천,2019-04,10.6,18.3,1003.7,1015.2,7,57,49.7,1.5,5.2,2.9,205.8,52.09,525.84,13.2
93,북춘천,2019-05,18.3,26.6,1000.1,1011.3,10.6,55,31.4,1.6,4,1.4,298.6,67.74,742.98,23.2
93,북춘천,2019-06,21.4,27.8,996.1,1007.1,17.6,72,88.7,1.2,5.7,3.3,235,53.06,652.98,26.4
93,북춘천,2019-07,25,29.9,995.4,1006.2,24.4,78,252.2,1.2,7.4,5.5,140.5,31.24,494.97,28.6
93,북춘천,2019-08,25.6,31.2,996.1,1006.9,25.6,80,186.6,1.1,6,3.8,220.9,52.33,583.7,29.4
93,북춘천,2019-09,20.7,26.5,1004.4,1015.5,19.4,80,147.9,1.1,7.1,4.9,138.1,36.94,395.49,23.7
93,북춘천,2019-10,14,20.7,1008.2,1019.6,12.5,78,48.4,1,5.7,3.9,189.2,54.34,372.17,16.5
93,북춘천,2019-11,4.9,11.9,1011.5,1023.4,6.7,76,57.8,.9,5,3.5,167.3,54.83,272.42,6.4
93,북춘천,2019-12,-.7,4.3,1014,1026.2,4.4,74,10.5,.9,5.2,4.4,143.2,48.1,217.32,.4
93,북춘천,2020-01,-.7,5.6,1012.1,1024.2,4.2,73,55.9,1,4.7,2.8,187.4,61.24,278.76,0
93,북춘천,2020-02,.7,6.9,1013,1025.1,4.6,69,35.3,1.2,4.5,3.4,183.5,58.61,331.85,2.6
93,북춘천,2020-03,6.1,13.5,1005.7,1017.5,5.1,57,13.7,1.5,3.9,2.7,238.5,64.18,509.82,8.7
93,북춘천,2020-04,9.7,17.4,1005.2,1016.8,5.9,52,17,1.9,3.6,2.4,257.6,65,605.88,14.2
93,북춘천,2020-05,17.4,23.7,998.9,1010.1,13.6,72,122.2,1.5,6.2,4.4,193.7,43.89,583.23,21.5
93,북춘천,2020-06,23.5,29.5,995,1005.8,19.9,72,79.1,1.5,5.7,3.2,225.2,50.85,650.42,30.1
93,북춘천,2020-07,23.3,27.9,996.2,1007.1,22.7,81,183.6,1.3,7.6,5.4,140.4,31.24,511.36,26.5
93,북춘천,2020-08,25.6,29.6,997.7,1008.5,29.2,90,821.2,1,8.3,6.7,92.3,21.92,356.98,27.1
93,북춘천,2020-09,19,24.9,1001.3,1012.5,18.2,84,153.1,1.3,6.5,4.3,162.6,43.64,421.25,21.4
93,북춘천,2020-10,10.9,19.1,1009.7,1021.3,10.1,78,.3,.9,4.3,2.1,221.5,63.72,420.29,14.6
93,북춘천,2020-11,5.3,12.1,1013.4,1025.3,6.7,73,75.2,1.2,3.9,2.9,181.1,59.51,287.49,6.9
93,북춘천,2020-12,-3.6,2.9,1014.6,1027,3.4,69,4.8,.9,3.5,2.5,197.9,66.5,268.95,-2.2
93,북춘천,2021-01,-5.7,.7,1013,1025.4,3.1,68,14.3,1,3.9,3,181.6,59.23,274.71,-3.6
93,북춘천,2021-02,.4,7.6,1009.4,1021.5,4,61,5.6,1.5,3.6,2.3,210.7,69.65,366.24,1.3
93,북춘천,2021-03,7.1,14.3,1008.3,1020.1,6.5,68,100.1,1.3,4.7,2.8,217.1,58.5,471.84,8.9
93,북춘천,2021-04,12.4,19.5,1007,1018.6,8.1,61,110.2,1.5,4.9,3,225.5,56.97,564.07,15.5
93,북춘천,2021-05,15.6,22.1,997.9,1009.1,12.9,75,159.3,1.4,6,4,190.3,43.13,569.66,18.8
93,북춘천,2021-06,21.6,27.5,997,1007.9,19.5,78,128.1,1.2,6.4,4.1,186.6,42.13,599.05,24.8
93,북춘천,2021-07,26.7,32.7,997.5,1008.3,27.1,80,202,1,6,3.6,251.7,56.01,697.93,32.2
93,북춘천,2021-08,24.3,29.3,998.1,1009,24.6,82,122.5,1.1,7.4,4.7,154,36.54,480.64,28.1
93,북춘천,2021-09,20.7,26.4,1003.2,1014.3,18.7,79,103.7,1.1,6.1,4.3,188.6,50.56,464.07,23.5
93,북춘천,2021-10,13.1,19.6,1010.5,1022,13.2,83,64.4,.9,5.7,4.2,160.2,46.06,342.76,15
93,북춘천,2021-11,5.3,12.2,1008.2,1020.1,6.9,75,49.8,1.2,4.6,3.3,163.1,53.55,271.29,5.7
93,북춘천,2021-12,-2.2,3.8,1013.4,1025.7,4,72,5.2,1.1,3.9,3.4,173.8,58.36,252.38,-1.1
93,북춘천,2022-01,-5.1,1.8,1013.4,1025.8,2.8,65,1.9,.8,3.1,2,219.2,71.52,314.35,-3.7
93,북춘천,2022-02,-3.5,3.7,1013.7,1026,2.6,55,6.3,1.5,2.8,1.4,224.1,74.13,380.96,-1.6
95,철원,2018-01,-7.3,-1.2,1004.8,1025,2.4,62,7.9,1.1,,,185.7,60.75,,-3
95,철원,2018-02,-4.4,2.1,1004.1,1024,2.4,52,14.4,1.5,,,206.4,68.37,,-2.2
95,철원,2018-03,6.2,12.8,1001.8,1020.9,6.1,64,33.6,2.1,,,202.7,54.65,,7.2
95,철원,2018-04,11.2,17.9,997.4,1016,7.7,61,139.4,2.5,,,203.6,51.43,,12.9
95,철원,2018-05,16.8,22.8,993.5,1011.6,12.7,68,263.1,2.2,,,231.4,52.39,,20
95,철원,2018-06,21.7,27.8,990.1,1007.9,17.6,70,122.3,1.8,,,232.2,52.4,,28
95,철원,2018-07,25.4,30.4,991.6,1009.2,25.8,80,174.2,2,,,234.6,52.11,,30.4
95,철원,2018-08,26.3,31.8,990.1,1007.6,26.4,79,527,1.9,6,3,235.2,55.7,,31.6
95,철원,2018-09,18.8,25.2,995.8,1013.9,16.3,77,55.4,1.5,4.9,2.7,206.9,55.41,,21.7
95,철원,2018-10,9.9,17.2,1000.8,1019.6,9.2,77,74.8,1.3,3.9,2.4,217.6,62.56,,11.6
95,철원,2018-11,4.5,11.4,1005.1,1024.4,6.5,77,60.2,1,4.1,2.6,159,52.23,,5
95,철원,2018-12,-4,2.6,1008.4,1028.4,3.1,62,8.3,1,4,2.3,190.8,64.29,,-2.8
95,철원,2019-01,-4.9,2.6,1006.9,1026.9,2.4,57,0,1.1,4,1.5,208.3,68.14,,-4
95,철원,2019-02,-1.7,5,1005.3,1025,3.4,63,20.6,1,4.9,3,205.6,68.15,196.2,0
95,철원,2019-03,4.5,11.3,998.4,1017.5,5.3,66,23.3,1.4,4.6,2.9,230.7,62.28,449.07,5.2
95,철원,2019-04,9.9,17.2,996.7,1015.5,7.5,63,28,1.5,5.1,2.8,236.2,59.74,533.62,11.8
95,철원,2019-05,17.8,25.3,993.3,1011.4,11.3,59,26.4,1.5,3.9,1.2,340,77.06,784.83,22.3
95,철원,2019-06,20.9,26.9,989.5,1007.3,18.5,77,57.1,1.4,5.5,3.3,284.6,64.24,698.73,25.4
95,철원,2019-07,24.2,29.1,988.7,1006.2,25.3,84,305.3,1.6,6.7,5,211.8,47.02,532.65,27.3
95,철원,2019-08,24.8,30.1,989.5,1007,26.9,87,156.9,1.1,5.7,3.4,267.7,63.35,633.22,27.7
95,철원,2019-09,20,25.8,997.5,1015.5,19.9,86,199.1,1.3,6.9,4.7,201.4,53.89,448.43,22.3
95,철원,2019-10,13.7,20.3,1001.2,1019.7,12.7,82,30.8,1.2,5.1,3,227.7,65.43,413.23,16
95,철원,2019-11,4.5,11.9,1004.4,1023.6,6.7,79,53,.9,4.7,3,191.4,62.86,276.59,6.3
95,철원,2019-12,-1.1,4,1006.8,1026.5,4.8,81,20,.9,4.3,3.3,149.1,51.92,204.42,.4
95,철원,2020-01,-1.2,4.8,1004.9,1024.6,4.4,79,79.7,1.1,4.8,3.1,179.8,58.87,254.72,-.3
95,철원,2020-02,0,6,1005.9,1025.5,5,79,46.8,1.1,4.9,3.7,180.2,57.65,295.28,2.4
95,철원,2020-03,5.5,12.6,998.9,1018,5.4,63,16.9,1.4,3.7,2.6,258.7,69.66,496.47,7.6
95,철원,2020-04,9.1,16.4,998.3,1017.1,6.4,58,20.9,1.7,3.3,1.6,288.8,72.84,600.33,13.5
95,철원,2020-05,16.9,22.6,992.1,1010.2,14.7,79,161.7,1.4,6.4,4.4,241.9,54.73,564.06,20.5
95,철원,2020-06,22.5,28.2,988.4,1006.1,20.9,79,92.2,1.4,5.7,3,267.3,60.33,644.17,27.5
95,철원,2020-07,22.8,27.5,989.5,1007.1,24.3,89,184.5,1.6,7.2,5.2,210.6,46.82,515.01,26
95,철원,2020-08,25.1,28.7,990.8,1008.4,30.4,96,903,1.3,7.9,6.6,136.8,32.44,343.97,26.8
95,철원,2020-09,18.8,24.4,994.6,1012.6,18.9,88,166,1.6,6,4.4,213.3,57.22,429.74,21.7
95,철원,2020-10,10.9,18.5,1002.7,1021.5,10,78,4.1,.9,3.7,1.9,244,70.26,425.3,13.7
95,철원,2020-11,5,11.4,1006.3,1025.6,7.1,78,72.3,1.1,4,3.2,182.4,60.04,271.99,6
95,철원,2020-12,-3.9,2.1,1007.5,1027.5,3.5,73,1.2,.9,4,2.5,193.4,65.21,257.41,-1.7
95,철원,2021-01,-5.9,.7,1005.6,1025.8,3.2,70,7.6,1.2,4.5,2.8,189.5,61.95,261.89,-3.5
95,철원,2021-02,.1,6.8,1002.3,1021.9,4.2,64,4.8,1.5,4,2.4,203,67.17,337.51,.8
95,철원,2021-03,6.2,13.4,1001.3,1020.3,6.8,75,103.7,1.5,4.5,2.9,240.7,64.83,469.76,7.5
95,철원,2021-04,12,18.7,1000,1018.6,8.5,65,99.3,1.7,4.5,2.8,262,66.14,567.05,14.3
95,철원,2021-05,15.5,21.8,991,1009.2,13.5,79,199.1,1.5,5.5,3.8,247.5,56.02,590.74,18.8
95,철원,2021-06,21.2,26.8,990.1,1007.9,21.2,86,67.6,1.3,6.2,3.5,247.4,55.83,615.72,24.5
95,철원,2021-07,26.1,31.7,990.8,1008.3,29,88,117.2,1.1,5.6,2.9,289.1,64.22,691.79,31.2
95,철원,2021-08,23.6,28.7,991.4,1009,26,90,219.6,1.4,6.9,4,211.3,50.06,486.91,26.9
95,철원,2021-09,20.3,26,996.3,1014.3,19.8,86,105.9,1.4,5.5,3.6,231.6,62.09,476.77,22.4
95,철원,2021-10,12.7,19.2,1003.4,1022.1,13.4,86,128.3,1,4.9,3.4,196.1,56.42,355.35,14.1
95,철원,2021-11,5.3,12,1001.2,1020.3,7.2,79,57.3,1.1,4.4,2.9,174.1,57.23,261.99,5
95,철원,2021-12,-2.1,3.6,1006.2,1026.1,4.4,76,4.9,1.1,3.6,2.5,177.3,59.78,236.21,-1.7
95,철원,2022-01,-5.8,1.3,1006.3,1026.4,2.9,73,2.5,.8,3.8,1.6,211,69.02,297.08,-4.7
95,철원,2022-02,-3.9,2.8,1006.6,1026.6,3,62,8.9,1.4,3.8,1.4,219.4,72.67,354.47,-2.9
98,동두천,2018-01,-5.4,.8,1010.2,1024.8,2.3,51,7,1.7,,,198,64.6,,-2.9
98,동두천,2018-02,-2.6,4.4,1009.5,1023.9,2.4,45,30.7,1.9,,,215,71.14,,-1.6
98,동두천,2018-03,7.4,14.6,1006.7,1020.9,6.1,58,38.7,1.9,,,209,56.35,,8.3
98,동두천,2018-04,12.4,19.9,1002.3,1016.1,7.5,55,125.9,2.1,,,215.9,54.6,,14.5
98,동두천,2018-05,17.4,24.1,998.3,1011.8,12.6,65,242.9,1.8,,,242.6,55,,20.8
98,동두천,2018-06,22.1,28.7,994.9,1008.1,17.3,67,193.6,1.5,,,237,53.54,,27.3
98,동두천,2018-07,26.3,31.5,996.2,1009.2,25.1,75,216.9,1.4,,,240.5,53.49,,30.7
98,동두천,2018-08,27.2,33.3,994.6,1007.6,25.6,72,407.4,1.5,5.8,2.8,226.3,53.63,,33
98,동두천,2018-09,19.8,26.2,1000.4,1013.8,15.6,69,56.5,1.3,4.8,2.9,210,56.26,,22.7
98,동두천,2018-10,11.4,18.6,1005.6,1019.5,8.6,65,107.9,1.4,3.8,2,230.7,66.29,,13.4
98,동두천,2018-11,6.4,13.5,1010,1024.3,6,62,61.5,1.2,4.2,2.7,166.6,54.66,,6.1
98,동두천,2018-12,-2,4.6,1013.6,1028.4,2.9,48,11,1.5,3.7,2.3,198.7,66.75,,-1.2
98,동두천,2019-01,-2.4,4.9,1012.1,1026.9,2.3,46,.4,1.4,3.4,2,212.7,69.46,,-2.3
98,동두천,2019-02,-.3,6.3,1010.6,1025.2,3.3,54,26.7,1.4,4.7,3,202,66.91,,.3
98,동두천,2019-03,5.7,12.9,1003.6,1017.9,5.5,62,32.5,1.8,4.6,3.6,221.6,59.81,,6.4
98,동두천,2019-04,11,18.3,1001.8,1015.7,7.8,60,34.8,1.6,4.9,3.4,219.2,55.45,,13.6
98,동두천,2019-05,18.3,26.2,998.4,1011.9,11.5,57,34.5,1.8,3.9,1.7,323,73.26,,24.6
98,동두천,2019-06,21.1,27.3,994.3,1007.6,18.2,75,63.2,1.3,5.6,3.5,237.8,53.72,,27.3
98,동두천,2019-07,24.6,29.5,993.4,1006.4,24.9,82,329.8,1.4,6.5,5.1,151.8,33.76,,28.2
98,동두천,2019-08,25.4,30.5,994.1,1007.1,26.8,83,135.2,1.1,5.5,3.1,249.4,59.07,,28.5
98,동두천,2019-09,20.8,26.2,1002,1015.4,19.9,81,247.5,1.1,6.9,4.9,179.5,48.05,,23.2
98,동두천,2019-10,14.4,21,1006,1019.7,12.9,79,38.2,1.1,4.7,2.8,223.8,64.24,,16
98,동두천,2019-11,5.7,12.8,1009.4,1023.7,6.7,71,58.1,1.2,4.5,2.9,194.5,63.75,,6.4
98,동두천,2019-12,0,5,1012.1,1026.7,4.7,73,27.2,1.3,4.2,3.2,148,49.68,,.4
98,동두천,2020-01,0,5.9,1010,1024.7,4.4,71,71.4,1.1,4.7,3,186.6,60.98,,-.3
98,동두천,2020-02,1.2,7.6,1011.1,1025.7,5.1,72,54.8,1.4,4.5,3.6,179.4,57.32,,2.4
98,동두천,2020-03,6.7,14.4,1004.1,1018.3,5.3,57,19.7,2,3.6,2.4,254.1,68.4,,7.2
98,동두천,2020-04,10.2,17.9,1003.5,1017.4,6.5,54,19.5,2.1,3.1,1.8,280.7,70.85,,13
98,동두천,2020-05,17.1,23.7,997,1010.5,14.4,77,134.3,1.4,6.3,4.5,205.7,46.6,,20.9
98,동두천,2020-06,22.8,28.8,993.2,1006.3,20.3,76,128.6,1.4,5.6,3.4,245.1,55.34,,29.9
98,동두천,2020-07,23,27.5,994,1007.1,23.7,85,248,1.2,7.3,5.5,167.1,37.2,,26.4
98,동두천,2020-08,25.3,28.8,995.5,1008.6,29.8,93,757.8,1.5,7.8,6.5,101.4,24.06,,27.5
98,동두천,2020-09,19.5,25,999.2,1012.6,18.6,83,130.4,1.4,5.9,3.9,208.2,55.86,,22.8
98,동두천,2020-10,12,19.5,1007.6,1021.5,10.1,72,2.9,1,4.2,2.2,235.8,67.86,,15.1
98,동두천,2020-11,6.3,12.8,1011.5,1025.8,7.1,70,73.9,1.4,4,3.1,177.6,58.34,,6.5
98,동두천,2020-12,-2.2,3.7,1012.9,1027.7,3.6,64,.6,1.3,3.4,2.7,198.6,66.71,,-1.1
98,동두천,2021-01,-4.2,2.1,1010.9,1025.8,3.3,64,15.4,1.4,3.9,2.8,188.8,61.56,,-3.1
98,동두천,2021-02,1.3,8.4,1007.7,1022.2,4.3,60,8.5,1.9,3.9,2.5,189.6,62.7,,2.3
98,동두천,2021-03,7.7,15.5,1006.2,1020.4,6.9,68,107.8,1.6,4.5,2.9,238.4,64.22,,10.2
98,동두천,2021-04,13,20.3,1004.9,1018.7,8.5,60,99.3,1.7,4.8,3.2,239,60.37,,15.7
98,동두천,2021-05,15.8,22.2,995.8,1009.4,13.4,77,228.8,1.5,5.4,3.7,210.8,47.78,,19.3
98,동두천,2021-06,21.3,27,994.8,1008,20.7,83,103.3,1.1,6,3.8,207.7,46.9,,25.9
98,동두천,2021-07,26.4,31.7,995.3,1008.4,28.2,83,100.2,.9,5.7,3.5,237.8,52.9,,32.2
98,동두천,2021-08,24.3,29.2,995.9,1009,25.5,85,140.6,.9,6.9,4.5,163.4,38.76,,28.5
98,동두천,2021-09,20.8,26.3,1000.9,1014.2,19.7,82,100.6,1,5.4,3.6,203.5,54.54,,23.7
98,동두천,2021-10,13.7,19.9,1008,1021.9,13.3,80,71.2,.9,4.7,3.5,186.5,53.62,261.64,15.8
98,동두천,2021-11,6.4,13.3,1005.8,1020,7.1,73,51.6,1.3,4.6,3,166.8,54.76,258.11,6.6
98,동두천,2021-12,-1.1,5,1011.1,1025.8,4.1,66,8.3,1.4,3.5,2.8,185.1,62.2,248.82,-.5
98,동두천,2022-01,-3.9,2.6,1011.1,1025.9,2.8,60,6.5,1.1,3.3,2.1,214.7,70.05,291.73,-3.2
98,동두천,2022-02,-2.6,4.4,1011.6,1026.4,2.9,56,7.1,1.8,3.1,1.9,220,72.8,358.65,-1.3
99,파주,2018-01,-6.8,-.8,1021.1,1024.9,2.6,64,6.1,1.4,,,200.4,65.38,,-3.1
99,파주,2018-02,-4.2,2.7,1020.3,1024.1,2.7,57,28.6,1.7,,,216.3,71.55,,-1.7
99,파주,2018-03,5.8,12.4,1017.1,1020.9,6.7,71,36.3,2,,,207.8,56.01,,7
99,파주,2018-04,10.6,17.7,1012.4,1016.1,8.4,67,122.4,2.2,,,220.8,55.83,,13.1
99,파주,2018-05,16,22.6,1008.1,1011.9,13.7,76,208.2,1.8,,,236,53.53,,19.5
99,파주,2018-06,20.8,27.4,1004.6,1008.1,18.9,79,137,1.5,,,230.2,51.98,,25.4
99,파주,2018-07,25.5,30.9,1005.4,1008.9,26.6,83,127.4,1.4,,,245.2,54.55,,29.3
99,파주,2018-08,26.5,32.2,1004,1007.4,28.2,82,129.5,1.4,5.6,2.5,230.2,56.37,,29.5
99,파주,2018-09,19.2,25.8,1010.1,1013.7,17.5,80,50.3,1.3,4.6,2.9,220.6,59.09,,22.1
99,파주,2018-10,10.3,18.4,1015.7,1019.4,9.6,78,102,1.2,3.9,2.3,220.4,63.33,,12.3
99,파주,2018-11,5,12.4,1020.3,1024.1,6.8,77,50.5,1,4.1,2.7,165.2,54.16,,5.3
99,파주,2018-12,-3.2,3.3,1024.3,1028.3,3.3,62,11.2,1.2,3.7,2.2,199.7,67.01,,-2.4
99,파주,2019-01,-4,3.6,1022.9,1026.8,2.7,61,.2,1,3.6,2.1,219.8,71.78,,-3.4
99,파주,2019-02,-1.2,5.4,1021.2,1025.2,3.5,62,23.3,1.2,4.9,3,195.2,64.61,,-.1
99,파주,2019-03,4.7,11.9,1014,1017.8,5.6,67,25.5,1.6,4.9,3.4,207.9,56.11,,5.4
99,파주,2019-04,10.1,17.4,1012,1015.7,8,66,38.6,1.6,5,3.3,221.6,56.07,,12.1
99,파주,2019-05,17.3,25,1008.4,1011.9,12.4,65,37.1,1.6,3.9,1.7,314.4,71.32,,22.2
99,파주,2019-06,20.6,26.3,1004,1007.5,18.6,78,62.2,1.3,5.5,3.5,222.8,50.33,,26.5
99,파주,2019-07,24.3,29.2,1002.9,1006.4,24.9,83,259.6,1.4,6.5,4.8,158.8,35.31,,27.8
99,파주,2019-08,25.1,30.3,1003.6,1007.1,27.1,86,161.9,1.1,5.2,2.8,250.1,59.25,,28.3
99,파주,2019-09,20.3,25.7,1011.8,1015.3,20.2,85,283.2,1.3,6.9,5.1,164,43.89,,22.6
